gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
12975,Timbercreek Real Estate Europe,Private Debt,Real Estate Credit,Multi-strategy Debt,156.3257,15,0,15
17507,Morgan Stanley European Private Credit,Private Debt,Corporate,Direct Lending,156.24738,8,8,8
7568,CenterGate Capital,Private Equity,Buyout,Small Buyout,155.96094,8,8,8
11484,Telescope Partners,Private Equity,Growth Equity,Small Growth Equity,155.92947,13,13,13
2409,Novitas Capital (fka PA Early Stage),Private Equity,Venture Capital,Early Stage,155.88617,77,77,77
2542,PJC,Private Equity,Venture Capital,Early Stage,155.241,70,70,70
5986,ISAI,Private Equity,Venture Capital,Late Stage,154.70534,20,20,20
4396,32 Degrees Capital,Real Assets,Energy,ENR Services,154.45554,64,64,64
4106,Artis Capital Management,Private Equity,Venture Capital,Late Stage,154.15488,19,19,19
9508,"Quanta Capital Solutions, Inc.",Real Assets,Infrastructure,Power,153.24472,5,5,5
16665,Archetype Ventures,Private Equity,Venture Capital,Early Stage,152.82265,73,73,73
4053,Aureos Latin America,Private Equity,Buyout,Small Buyout,152.49345,13,13,13
11615,Slate,Real Estate,Value-Add,Europe,152.32581,3,0,3
9944,Next Coast Ventures,Private Equity,Venture Capital,Early Stage,151.95586,64,64,64
11050,Fika Ventures,Private Equity,Venture Capital,Early Stage,151.72479,92,92,92
16613,Shoreline Equity Partners,Private Equity,Buyout,Small Buyout,151,5,5,5
1982,Longroad Asset Management,Private Debt,Special Situations,Distressed / Corporates,150.77052,12,12,12
9510,Star Capital SGR S.p.A,Private Equity,Buyout,Large Buyout,150.283,15,15,15
15077,Weinberg Real Estate Partners,Real Estate,Value-Add,Europe,149.77785,7,7,7
6153,Elbrus Capital,Private Equity,Buyout,Small Buyout,149.7,5,5,5
3907,Signet Healthcare Partners,Private Equity,Venture Capital,Late Stage,148.51038,34,34,34
9414,VantagePoint Cleantech Partners,Private Equity,Growth Equity,Large Growth Equity,148.36082,17,17,17
10313,Industry Ventures Special Opportunities,Private Equity,Other,Secondaries,148.08202,35,15,35
16285,Genesis Capital (AUS),Private Equity,Growth Equity,Small Growth Equity,146.95598,13,13,13
17347,Uncorrelated Ventures,Private Equity,Venture Capital,Early Stage,146.73169,99,99,99
5948,Lakeshore Capital Partners,Private Equity,Growth Equity,Small Growth Equity,145.8208,15,15,15
1894,Lake Pacific Partners,Private Equity,Buyout,Small Buyout,145.21138,8,8,8
17161,Carthona Capital,Private Equity,Venture Capital,Early Stage,144.69127,46,46,46
11500,Owner Resource Group,Private Equity,Buyout,Small Buyout,144.589,13,13,13
18245,Harkness Capital Partners,Private Equity,Buyout,Small Buyout,143.98,4,4,4
11247,Arcano Capital Real Estate,Real Estate,Value-Add,Europe,143.96397,19,16,19
2425,Paladin Capital Group,Private Equity,Venture Capital,Balanced,143.74281,58,58,58
16623,Better Tomorrow Ventures,Private Equity,Venture Capital,Early Stage,143.55083,106,106,106
18725,EQT Exeter Mexico,Real Estate,Value-Add,Rest of World,142.922,3,3,3
13570,Area One Farms,Real Assets,Natural Resources,Agriculture,142.90468,18,18,18
10821,Phoenix Property Investors - Credit,Private Debt,Real Estate Credit,Private Performing,142.39128,9,9,9
25190,Abrdn Europe Credit - IG,Private Debt,Real Estate Credit,Senior,141.35114,5,0,5
15207,Yttrium (Digital+ Partners),Private Equity,Buyout,Small Buyout,140.7,11,11,11
18225,Expedition Growth Capital,Private Equity,Growth Equity,Small Growth Equity,140.7,10,10,10
4519,Vespa Capital,Private Equity,Buyout,Small Buyout,140.62476,14,14,14
18580,Aquiline Technology Growth,Private Equity,Growth Equity,Small Growth Equity,140.36908,19,19,19
7253,Staple Street Capital,Private Equity,Buyout,Small Buyout,140.21642,10,10,10
165,Alto Partners SGR S.p.A.,Private Equity,Buyout,Small Buyout,139.87895,19,19,19
1837,Key Capital Partners,Private Equity,Buyout,Small Buyout,139.29271,28,28,28
6689,Streamlined Ventures,Private Equity,Venture Capital,Early Stage,139.07703,216,216,216
9215,GSV Ventures,Private Equity,Growth Equity,Small Growth Equity,138.59322,55,55,55
9540,Limerston Capital,Private Equity,Buyout,Small Buyout,138.48067,7,7,7
4061,Presidio Investors,Private Equity,Buyout,Small Buyout,138.39999,7,7,7
723,Centerfield Capital Partners,Private Equity,Buyout,Small Buyout,138.09702,37,37,37
11753,Kervis Capital Management,Real Estate,Core / Core+,Europe Core,137.43448,10,8,10
13690,ArcTern Ventures,Private Equity,Venture Capital,Balanced,137.37939,28,28,28
11716,Apiary Capital,Private Equity,Buyout,Small Buyout,137.09563,8,8,8
16368,Stoneweg,Real Estate,Core / Core+,Europe Core,135.76926,14,12,14
15145,Stellaris Venture Partners,Private Equity,Venture Capital,Early Stage,135.53651,42,42,42
15650,Hetz Ventures,Private Equity,Venture Capital,Early Stage,135.12207,40,40,40
4487,LiveOak Venture Partners,Private Equity,Venture Capital,Early Stage,134.71417,42,42,42
18799,Crane Venture Partners,Private Equity,Venture Capital,Early Stage,134.37234,70,70,70
15906,Target Global,Private Equity,Venture Capital,Early Stage,134.21474,45,45,45
4220,Mercury Fund,Private Equity,Venture Capital,Early Stage,133.93181,45,45,45
6206,Cotton Creek Capital,Private Equity,Buyout,Small Buyout,133.64005,12,12,12
17273,Realterm Europe,Real Estate,Value-Add,Europe,133.59528,20,20,20
13019,Backcast Partners,Private Debt,Corporate,Direct Lending,133.36671,8,8,8
24987,Northzone Growth,Private Equity,Venture Capital,Late Stage,132.50211,14,14,14
9599,P4G Capital,Private Equity,Buyout,Small Buyout,132.5,12,12,12
15956,Aquiline Credit Opportunities,Private Debt,Corporate,Opportunistic Lending,132.48808,19,19,19
4036,EFO Holdings,Private Equity,Buyout,Small Buyout,132.43526,26,26,26
25681,Verto,Private Equity,Growth Equity,Small Growth Equity,132.17784,10,10,10
25101,Hines - Asia Core,Real Estate,Core / Core+,Asia Core,132.17067,4,4,4
4718,Enlight Growth Partners,Private Equity,Venture Capital,Early Stage,131.28741,20,20,20
25146,Zenyth Partners,Private Equity,Buyout,Small Buyout,130.8,6,6,6
