gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
8857,Peak Equity Partners,Private Equity,Growth Equity,Small Growth Equity,79,4,4,4
3703,"Westly Group, The",Private Equity,Venture Capital,Balanced,78.741112,17,17,17
15940,Harlem Capital,Private Equity,Venture Capital,Early Stage,78.577393,53,53,53
16104,Target Global Growth,Private Equity,Venture Capital,Late Stage,78.379356,6,6,6
6565,Decheng Capital,Private Equity,Venture Capital,Balanced,78.300003,13,13,13
4443,HighBAR Partners,Private Equity,Venture Capital,Late Stage,77.959396,7,7,7
3012,Stratus Group,Private Equity,Growth Equity,Medium Growth Equity,77.78022,13,13,13
16843,Moonfire,Private Equity,Venture Capital,Balanced,77.208908,70,70,70
7682,SpeedInvest,Private Equity,Venture Capital,Early Stage,77.120468,192,192,192
11470,Havencrest Healthcare Partners,Private Equity,Buyout,Small Buyout,76.549629,5,5,5
15619,LeadCrest,Real Estate,Core / Core+,Europe Core,76.140839,9,9,9
17408,Franklin Venture Partners,Private Equity,Venture Capital,Balanced,75.760033,19,19,19
11790,Lightbank,Private Equity,Venture Capital,Early Stage,75.5,35,35,35
16759,Flare Capital Partners,Private Equity,Venture Capital,Balanced,75.472359,13,12,13
